building_number,c_desktop,c_laptop,c_server
14,13,2.0,0.0
15,221,37.0,10.0
16,517,42.0,12.0
17,95,22.0,0.0
18,91,7.0,0.0
22,302,5.0,9.0
26,11,1.0,0.0
29,113,36.0,0.0
30,373,44.0,3.0
32,10,1.0,3.0
33,1105,82.0,32.0
34,342,17.0,1.0
35,305,1.0,0.0
37,880,105.0,129.0
38,49,4.0,0.0
39,286,19.0,4.0
40,191,13.0,0.0
41,203,33.0,3.0
42,99,4.0,0.0
43,15,0.0,0.0
50,2,8.0,300.0
51,137,32.0,4.0
54,370,55.0,0.0
55,393,69.0,12.0
56,68,5.0,0.0
57,64,0.0,0.0
58,354,66.0,2.0
59,390,28.0,1.0
60,15,0.0,0.0
62,233,2.0,44.0
63,228,26.0,5.0
64,107,8.0,7.0
65,1,0.0,0.0
67,29,0.0,0.0
70,325,4.0,0.0
71,189,16.0,1.0
72,1060,167.0,19.0
74,338,72.0,0.0
90,93,7.0,0.0
93,191,14.0,16.0
93A,82,3.0,0.0
95,60,0.0,0.0
96,70,7.0,0.0
97,43,9.0,2.0
98,234,35.0,2.0
