אינוונטר,תאריך קבלה,סטטוס,שם סטטוס,תאריך עדכון אחרון,פריט,"מחיר כניסה בש""ח",מחיר כניסה בדולר,תיאור האינוונטר,הערות לשורה מההזמנה,מחלקה,שם מחלקה,הזמנה,סריאלי,מחיר ידני,קוד סימון,תז שואל,פטור מותנה,מנוהל תמיד,קמפוס,שם קמפוס,בניין,שם בניין,קומה,חדר,הערות לפריט אומנות
141592,05/07/2015,1,פעיל,12/11/2015,80000127,"40,858.68","12,724.60",מקרר תעשייתי,"מקרר כרומטוגרפי 1297 דלת הזזה זכוכית. מק"" ט :ZZD-333",5106,כימיה,4268303,,,,,,,5,קמפוס מרקוס,29,"בנין מעבדות כימיה ופיסיקה ע""ש קרופ - 29",0,11,
149462,14/09/2017,1,פעיל,14/09/2017,80000127,"36,662.68","11,417.84",מקרר תעשייתי,as per catalog enclosed. .boxes per freezer: 480. For 230V; 50Hz. All details  .per freezer: 24. Number of boxes per rack: 20. Total  .External dim: 1130x876x1990mm (WxDxH). Number of racks  .Ultra-Low Temperature Freezer. Capacity: 668 liters.  .NU-9668E Nuaire NU-9668E Upright Large Capacity -860C ,5513,ביוטכנולוגיה,4295794,,,,,,,5,קמפוס מרקוס,29,"בנין מעבדות כימיה ופיסיקה ע""ש קרופ - 29",קרקע,4,
149463,14/09/2017,1,פעיל,14/09/2017,80000127,"36,662.68","11,417.84",מקרר תעשייתי,as per catalog enclosed. .boxes per freezer: 480. For 230V; 50Hz. All details  .per freezer: 24. Number of boxes per rack: 20. Total  .External dim: 1130x876x1990mm (WxDxH). Number of racks  .Ultra-Low Temperature Freezer. Capacity: 668 liters.  .NU-9668E Nuaire NU-9668E Upright Large Capacity -860C ,5513,ביוטכנולוגיה,4295794,,,,,,,5,קמפוס מרקוס,29,"בנין מעבדות כימיה ופיסיקה ע""ש קרופ - 29",קרקע,4,
144813,23/05/2016,1,פעיל,23/05/2016,80000127,"30,303.00","9,437.25",מקרר תעשייתי,"בניית מקרר למעבדה במידות 150x75x200, שתי דלתות הזזה זכוכית שקופה,. סידור פנימי, מקום מחוזק לציוד סידור קולונות וכו' - כמפורט בהצעת המחיר. ",5910,מיקרוביולוגיה - מדעי הבריאות,5052883,,,,,,,13,פארק הייטק,41,"בניין המכון הלאומי לביוטכנולוגיה בנגב, ע""ש אדגר דה-פיצ'וטו - 41",1,102,
144816,23/05/2016,1,פעיל,23/05/2016,80000127,"30,303.00","9,437.25",מקרר תעשייתי,"בניית מקרר למעבדה במידות 150x75x200, שתי דלתות הזזה זכוכית שקופה, סידור פנימי, מקום מחוזק לציוד סידור קולונות וכו' - כמפורט בהצעת המחיר ",5910,מיקרוביולוגיה - מדעי הבריאות,5052904,,,,,,,5,קמפוס מרקוס,M6,"M6 - בנין מעבדות מחקר רפואה ע""ש דייכמן - פלאם",1,126,
145659,16/08/2016,1,פעיל,16/08/2016,80000109,"14,599.93","4,546.85",מקרר ביתי,"מקרר חכם דגם RF30HSMART  samsung . העתיד כבר כאן עם מקרר  SMART  של סמסונג המשלב מסך "" LCD 8 . הפותח עולם חדש בתחום המקררים. המקרר . מאפשר חיבור לטלוויזיות החכמות של סמסנוג . וגם לסמארטפונים וטאבלטים התומכים באנדרואיד או .IOS. למקרר החכם עבור פרויקט IOT. . . . . . . . . . . . . ",8298,0,4290121,,,,,,,13,פארק הייטק,P1,בניין גב ים - P1,3,114,
142568,19/10/2015,1,פעיל,08/12/2015,80000127,"8,775.00","2,732.79",מקרר תעשייתי,"מקרר דלת אטומה לבן 78X74X187 -. תוצרת מונדיאל, דגם KIC PV60MED",5907,פיזיולוגיה,4279034,522MF62175,,,,לא,לא,1,מדעי הבריאות סורוקה,SRK6,"בי""ח סרוקה אשפוז פנימיות-ק 6",6,651,
151152,31/01/2018,1,פעיל,04/02/2018,80000127,"8,271.90","2,576.11",מקרר תעשייתי,Sealed Door Refrigerator 775x740x187 (White),5109,המרכז לננו טכנולוגיה,5072894,,,,,לא,לא,1,מדעי הבריאות סורוקה,SRK6,"בי""ח סרוקה אשפוז פנימיות-ק 6",6,635,
144270,16/03/2016,1,פעיל,16/03/2016,80000109,"8,013.92","2,495.77",מקרר ביתי,מקרר  lg  דגם  849 630 ליטר ,5919,בית חיות,4284058,,,,,,,5,קמפוס מרקוס,M9,M9 - בניין M9,קרקע,2,
148382,04/06/2017,1,פעיל,04/09/2017,80000127,"7,839.00","2,441.30",מקרר תעשייתי,  78X74X187 מקרר מעבדה דלת זכוכית כולל הובלה והתקנה. יצרן MONDIAL ELITE,5104,מדעי החיים,4300261,550MF70716,,,,לא,לא,13,פארק הייטק,41,"בניין המכון הלאומי לביוטכנולוגיה בנגב, ע""ש אדגר דה-פיצ'וטו - 41",2,231,
141281,08/06/2015,1,פעיל,02/03/2016,80000127,"6,903.00","2,149.80",מקרר תעשייתי,"מקרר 0-4 מעלות, 600 ליטר, דלת זכוכית, צבע גוף לבן 5 . מדפים - דגם BEV 60PV . ",5104,מדעי החיים,5046107,1.58E+11,,,,לא,לא,5,קמפוס מרקוס,40,"בנין המחלקה למדעי החיים ע""ש טומן - 40",3,302,
141282,08/06/2015,1,פעיל,02/03/2016,80000127,"6,903.00","2,149.80",מקרר תעשייתי,"מקרר 0-4 מעלות, 600 ליטר, דלת זכוכית, צבע גוף לבן 5 . מדפים - דגם BEV 60PV . ",5104,מדעי החיים,5046107,1.58E+11,,,,לא,לא,5,קמפוס מרקוס,40,"בנין המחלקה למדעי החיים ע""ש טומן - 40",3,302,
141090,17/05/2015,1,פעיל,12/11/2015,80000127,"6,667.00","2,076.30",מקרר תעשייתי,מקרר תעשייתי מדגם ap-600 inox. בנפח 600 ליטר . תוצרת פורטוגל. כולל הובלה,5914,וירולוגיה,5044092,,,,,,,1,מדעי הבריאות סורוקה,M2,"בי""ח סורוקה (בנין פתולוגיה) - M2",2,254,
142780,30/09/2015,1,פעיל,12/11/2015,80000127,"6,552.00","2,040.49",מקרר תעשייתי,מקרר דלת אטומה 77x74x187 תוצרת חברת מונדיאל -. דגם PR60MLT KIC. ,5508,הנדסה כימית,4277784,,,,,,,5,קמפוס מרקוס,59,"בנין הנדסת חומרים והנדסת כימיה ע""ש  פוסטר - 59",3,341,
141759,22/07/2015,1,פעיל,12/11/2015,80001045,"6,490.00","2,021.18",מקרר תעשייתי,"דגם : ap-600  inox מקרר מעבדה דלת  1 אטום, מידות : . גובה 187X75X75  גוף המקרר  פנים לבן חוץ נירוסטה 5 . מדפים, נפח  600 ליטר, בקר אלקטרוני  לתצוגת טמפ',טמפ' . +8 +2/ מעלות תוצרת  פורטוגל",5914,וירולוגיה,5047821,371000166,,,,לא,לא,5,קמפוס מרקוס,39,"בנין המכון למחקר ישומי במדעי החיים ע""ש דה 39-פיצ'וטו",3,317,
149286,31/08/2017,1,פעיל,14/11/2017,80000127,"5,849.73","1,821.78",מקרר תעשייתי,מקרר מעבדה דלת 1 אטום po ap-600,5513,ביוטכנולוגיה,5070041,,,,,,,5,קמפוס מרקוס,29,"בנין מעבדות כימיה ופיסיקה ע""ש קרופ - 29",0,10,
158166,09/01/2020,1,פעיל,09/01/2020,80000109,"5,599.99","1,744.00",מקרר ביתי,1- מקרר lg מקפיא  תחתון דגם- 849 מקרר 650  ליטר  כולל . הובלה. ,5106,כימיה,5102052,,,,,,,5,קמפוס מרקוס,62,"בנין מערך המחשוב מעבדות כימיה ופיסיקה ע""ש 62-קרופ",2,208,
146919,12/12/2016,1,פעיל,23/04/2017,80000127,"5,395.29","1,680.25",מקרר תעשייתי,700X770X2050 מקרר דלת זכוכית,5104,מדעי החיים,4295750,600WB20151124030,,,,לא,לא,5,קמפוס מרקוס,39,"בנין המכון למחקר ישומי במדעי החיים ע""ש דה 39-פיצ'וטו",3,304,
148336,25/05/2017,1,פעיל,05/12/2017,80000105,"5,287.93","1,646.82","מקרר ביתי, 500 ליטר","מקרר מקפיא תחתון סמסונג SAMSUNG דגם : RL4323RBASP/ML פלטיניום. נפח 487 ליטר 450/ברוטו ליטר נטו.  מדחס בטכנולוגיית אינוורטר.  טכנולוגיית . מקרר סמסונג הפוך מק""ט 221225 כולל 10 שנות אחריות למנוע . והובלה",6580,מכון לננוטכנולוגיה,4298268,RC4323RBASP/MC,,,,לא,לא,5,קמפוס מרקוס,51,בניין מכון למדע וטכנולוגיה,2,232,
162005,25/01/2021,1,פעיל,25/01/2021,80000109,"5,001.75","1,557.69",מקרר ביתי,למקרר אינטגרלי גראם דגם ksi331591 . . מקרר אינטגרלי גראם דגם ksi331591 ,5553,מחקרים אלקטרואופטיקה,4365451,,,,,,,5,קמפוס מרקוס,51,בניין מכון למדע וטכנולוגיה,2,208,
163078,23/05/2021,1,פעיל,23/05/2021,80000109,"4,989.99","1,554.03",מקרר ביתי,מקרר מקפיא תחתון 617 Siemens KG86NAI31L  ליטר סימנס . כסוף,6260,מכון המים,4365079,,,,,,,7,קמפוס שדה בוקר,SB-11,,"בניין 15, קומה 1",105,
150892,08/01/2018,1,פעיל,08/08/2018,80000127,"4,621.50","1,439.27",מקרר תעשייתי,"מקרר 370 ליטר, דלת אטומה",5104,מדעי החיים,4309744,1.00E+11,,,,לא,לא,8,קרית ברגמן,N12,קרית-N12 ברגמן,בתאום עם לוטן,בתאום עם לוטן,
141421,21/06/2015,1,פעיל,02/03/2016,80000125,"4,590.20","1,429.52","מקרר ביתי, 525 ליטר",מקרר LG749,5104,מדעי החיים,4271928,403MRLM13328,,,,לא,לא,5,קמפוס מרקוס,40,"בנין המחלקה למדעי החיים ע""ש טומן - 40",0,16,
141422,21/06/2015,1,פעיל,02/03/2016,80000106,"4,590.00","1,429.46","מקרר ביתי, 525 ליטר",מקרר LG 749 נפח 587 ליטר . מקרר LG749,5104,מדעי החיים,5044913,403MRSS13326,,,,לא,לא,5,קמפוס מרקוס,40,"בנין המחלקה למדעי החיים ע""ש טומן - 40",2,206,
