building_number,January-19,February-19,March-19,April-19,May-19,June-19,July-19,August-19,September-19,October-19,November-19,December-19,January-20,February-20,March-20,April-20,May-20,June-20,July-20,August-20,September-20,October-20,November-20,December-20
Building 14,15.383570259332881,9.03809701269668,530.7257151315366,401.93873446745283,9995.987708301871,16245.695145093117,17115.9676124819,17517.754382250183,15841.39569592784,5030.039440032802,5394.157564104752,576.6757857449041,0.0,0.0,10.142587812867527,0.0,7800.773300111304,10166.364685443728,12292.240456949392,14276.14000401735,14864.47676385611,3233.091324808128,0.0,0.0
Building 15-16,10439.197465678435,11153.307076315175,21448.09447080288,12477.416861571874,37633.78855095777,52243.4040758016,52727.33122843698,59835.23096840756,47330.1921732689,25206.56242919572,18107.36206732732,11614.3661029689,7972.071796111042,11847.66518860197,19654.554833476497,2412.672134544004,23977.112734070015,26332.19757001956,40449.37163766027,40492.23810349413,38203.66642731498,25078.46471255464,12173.101032890914,9506.179566849376
Building 17,89.1262111823355,36.861258404723706,1618.4559255168233,1150.2904242981003,4649.029531995298,6094.030262120499,7961.9188412897765,7159.526442845409,8941.58399325496,2084.016040589261,1480.7583014334275,123.15988956486869,0.0,229.21524224020706,621.9483401792025,46.85126961086862,3046.5071821530273,3232.26635722446,11340.621268005825,5105.635651340483,3706.2574758651713,2537.9568611562927,506.0681377497877,2.3288114447839185
Building 18,2292.411169487429,1631.0279828677315,2255.5692831531815,3930.9850043407546,8203.516174349907,13403.740135770202,14978.148923595701,15811.166336543693,11848.774279208872,7962.037259265045,4447.665482754032,2771.51193334478,0.0,115.94203110403699,537.7459788550908,375.0690036803792,5965.522579536243,7453.81903904322,10630.348112088626,11105.031379873024,8554.012094729544,4774.7388249786645,2801.5710106526253,625.1277437523054
Building 22,6928.762636811999,8614.582419737022,15711.349134173526,14100.583205096123,38769.964737528186,58714.03387367901,73362.23061594901,48608.052037234134,53645.57816658267,27310.936708054196,27913.686182905316,18757.00511996171,7279.137830118721,10090.959936003019,10216.917336054645,360.59946792763026,27784.34531160384,34496.363432351274,56254.75352520277,50415.350297510806,43617.38598593007,23037.668555332366,11425.123866588385,514.8973353658666
Building 25,13.37476369640399,0.0,641.1470123284847,90.58859024928849,1697.2046253393157,3256.415845496321,3308.3151510342036,5339.554768939537,5150.032917307701,3650.628770107457,4649.556524029954,15479.566346896512,0.0,0.0,1654.1050124602043,0.0,1190.5618162964324,1449.0964964102657,1869.3064352975568,2034.3332811200175,1922.4310598485333,892.6518055620111,0.0,0.0
Building 26,0.0,0.0,184.2275741231098,1552.3285337617128,1562.379497096451,3420.1543341762076,4914.10711071297,3364.7710408198213,8706.351379760246,9091.136474042056,334.7271656118084,0.0,0.0,0.0,0.0,0.0,2072.2814036454038,2741.664997620275,7124.851551294093,5105.042534524296,3813.582670925364,4271.88811237608,5355.78331109207,0.0
Building 28,0.0,0.0,179.37758455281548,4282.242490766737,5029.965415506246,8589.385403173117,7397.367585664676,8828.276813672997,9893.279443939744,10244.823319654031,4554.921924508577,614.4914405850111,0.0,0.0,0.0,0.0,0.0,0.0,1372.013921186876,0.0,0.0,6447.327522851799,0.0,0.0
Building 29,16083.606946407748,16511.315461053848,13809.853099501186,11622.228769619818,3846.512600091066,15816.96802522456,45904.46450976954,8390.064995661132,33919.424746112636,42779.01412325168,14374.49605270866,19061.589498792004,21002.29661660758,16764.768850649154,10823.88108173904,688.3901047879809,20642.927447499733,20580.620478779136,41743.443395859744,30608.25248654529,33265.58757304689,18631.613892746373,15362.05079543717,1519.1613324807095
Building 30,76.29576926427353,0.0,64.17832733364688,1552.3285337617128,1562.379497096451,13538.086032865398,4914.10711071297,3364.7710408198213,19955.041772583194,9091.136474042056,334.7271656118084,0.0,0.0,0.0,0.0,0.0,2072.2814036454038,2741.664997620275,7124.851551294093,5105.042534524296,3813.582670925364,4271.88811237608,5355.78331109207,0.0
Building 32,0.0,0.0,149.83346491792867,3577.143768014618,4201.746071125096,7175.080674466945,6179.342900268919,7374.637236849167,8264.277847322304,8557.935810198362,3804.9156973663335,513.3216133209991,0.0,0.0,0.0,0.0,0.0,0.0,1146.0933973032602,0.0,0.0,5385.7301301378,0.0,0.0
Building 33,3166.682665801108,2767.866998488287,37123.596899885066,14919.549110947954,28270.512771839924,41206.15710296951,71116.6013472646,70527.89478309563,50172.241293157975,42127.43619072974,34572.774389701786,8374.807737577441,1982.8637066353544,2283.7668687530345,45359.93208390472,8737.075838424407,35246.379944212145,39449.70286356165,67514.20549256032,57246.57322794516,57118.91869446435,53763.77622128384,53490.68166542997,3998.31049386679
Building 34,3484.1518629979228,6647.833437244731,4779.9888544913665,12003.721098627404,17638.92559292668,28531.343120567974,32758.34228491077,27685.64016236104,26298.44825366548,15195.167286799164,13009.744752633564,10834.06855659009,14791.599849768236,14709.474200395274,1775.0337921545795,251.53437151580982,11436.232810140427,14515.96902530777,20112.566283689943,19716.475301292292,16527.13393248582,9482.668225536958,4513.89107862899,136.76735855354445
Building 35,10667.333091015451,9864.332668233843,19786.40881151717,13704.499314152417,26610.857164301146,37617.84274396108,44957.3288949487,41598.54998042182,36693.3068022212,26913.11089868679,19656.065031059905,6843.144210885851,6593.148409676129,6563.416815975275,17580.3821382613,1306.4385934613013,18547.679119009215,19844.36937459483,26606.84140233588,26846.150787071867,19561.008763720492,10923.842952319274,9828.400573709954,0.0
