,January-15,February-15,March-15,April-15,May-15,June-15,July-15,August-15,September-15,October-15,November-15,December-15,January-16,February-16,March-16,April-16,May-16,June-16,July-16,August-16,September-16,October-16,November-16,December-16,January-17,February-17,March-17,April-17,May-17,June-17,July-17,August-17,September-17,October-17,November-17,December-17,January-18,February-18,March-18,April-18,May-18,June-18,July-18,August-18,September-18,October-18,November-18,December-18,January-19,February-19,March-19,April-19,May-19,June-19,July-19,August-19,September-19,October-19,November-19,December-19,January-20,February-20,March-20,April-20,May-20,June-20,July-20,August-20,September-20,October-20,November-20,December-20
Electricity Company Counter,"3,354,488.80","3,030,597.60","3,241,502.30","3,034,376.80","3,883,110.90","4,065,047.60","4,434,543.80","4,690,761.00","4,053,599.19","3,903,177.42","3,539,500.00","3,510,177.40","3,445,540.00","3,196,490.50","3,292,367.00","3,226,024.50","3,822,070.50","4,260,933.00","4,607,485.00","4,448,433.50","4,065,365.50","3,251,455.00","3,405,779.00","3,430,355.00","3,626,306.50","3,208,575.00","3,505,659.50","3,239,641.50","4,018,215.00","4,441,878.50","5,007,129.00","4,875,123.50","4,176,939.00","3,590,878.50","3,439,565.50","3,426,506.00","3,557,478.00","3,129,743.00","3,373,342.50","3,206,203.50","4,065,136.50","4,303,577.50","4,764,724.50","4,601,894.00","3,797,049.50","4,058,220.52","3,458,595.50","3,486,577.00","3,549,980.50","3,145,473.50","3,457,133.50","3,048,124.50","3,857,757.50","4,516,239.00","4,896,729.00","4,605,829.50","4,310,188.50","3,661,294.50","3,501,474.00","3,677,010.00","3,733,662.34","3,402,911.16","3,044,460.94","2,470,572.16","3,344,375.64","3,691,921.18","4,328,643.14","4,456,943.98","4,287,362.44","3,753,988.22","3,243,847.00","3,194,604.56"
Building 14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"19,442.02","19,321.73","15,904.75","11,806.51","14,543.88","15,891.91","23,492.34","19,301.28","16,487.18","14,697.42","16,170.48","20,810.06","25,952.96","24,141.94","19,194.46","13,677.54","17,702.63","18,799.58","19,552.23","17,281.99","13,251.50","15,974.04","15,058.30","19,510.34","32,322.67","20,597.35","19,120.75","12,793.32","15,889.49","19,220.65","21,234.02","15,783.52","16,713.58","13,395.52","15,324.38","18,731.01","21,346.58","18,317.78","12,132.83","7,308.02","11,366.84","13,582.40","13,594.38","13,306.80","12,334.07","10,899.14","8,913.22","10,216.24"
Building 15-16,"76,159.75","73,075.27","74,557.07","69,575.98","77,537.07","79,975.29","78,243.42","70,314.84","64,041.67","53,654.00","70,964.03","66,072.11","78,345.00","106,225.18","79,563.12","67,148.20","74,772.29","75,372.79","73,530.57","68,010.61","65,365.85","58,248.78","71,316.12","74,938.32","79,334.66","68,668.28","69,541.81","59,597.69","70,818.71","72,572.08","73,746.99","72,094.32","66,696.94","66,406.45","72,001.80","76,639.44","82,812.99","72,721.28","74,877.44","71,604.08","81,380.29","80,127.66","80,964.67","74,981.75","69,768.22","77,318.18","76,293.60","81,918.65","80,986.07","68,354.88","79,253.44","71,262.98","78,553.85","80,835.15","78,680.25","74,845.36","74,679.36","72,665.16","75,472.21","84,106.24","84,428.05","72,613.89","56,865.91","41,954.40","56,673.32","60,357.77","56,887.93","64,589.00","68,955.00","61,578.00","63,558.00","58,956.93"
Building 17,"21,957.92","18,028.98","15,149.43","11,945.39","12,618.82","14,247.49","14,256.78","12,867.08","11,489.58","12,519.92","11,864.02","15,405.43","16,967.56","15,692.17","14,008.20","11,988.75","13,516.96","13,433.53","13,329.65","11,626.67","12,350.81","11,203.27","13,734.67","18,250.90","19,525.31","17,215.48","17,108.65","13,157.98","14,934.39","13,571.73","13,220.69","12,000.00","12,789.88","9,230.97","10,647.12","11,827.01","16,272.08","13,779.67","14,547.47","11,773.78","12,022.90","10,155.42","10,657.50","10,286.50","10,189.44","10,313.26","10,743.95","13,159.73","17,116.72","13,160.29","14,924.58","12,083.06","10,763.36","9,963.47","10,674.28","9,750.88","10,825.56","9,763.25","10,313.20","14,048.81","15,075.77","12,487.45","8,015.50","4,239.81","9,064.81","9,694.54","9,478.95","9,161.28","8,544.02","8,701.60","8,534.39","9,705.37"
Building 18,"21,782.05","17,671.29","17,120.29","14,665.17","19,949.65","19,481.16","17,474.01","16,441.46","15,931.28","17,923.87","19,040.25","19,952.29","22,787.02","19,078.92","19,471.39","15,607.42","18,868.86","19,269.22","18,303.41","18,131.30","18,112.39","14,324.72","19,791.60","20,858.45","22,545.04","19,120.67","20,359.79","16,608.06","21,140.01","21,411.49","21,194.47","18,133.69","18,581.54","19,131.07","21,776.28","24,448.23","27,394.09","19,517.38","19,566.95","17,290.93","21,233.14","20,877.07","19,840.03","18,410.72","16,270.22","20,049.09","23,312.39","26,734.16","34,066.53","25,909.36","19,466.09","15,055.70","17,135.52","17,391.83","18,756.38","18,569.44","16,230.71","16,298.52","16,068.00","20,430.97","29,965.05","22,239.80","12,466.28","6,382.53","13,140.51","15,736.39","15,494.02","15,187.64","14,304.80","12,376.80","13,100.75","14,605.35"
Building 22,"96,120.52","90,718.93","38,409.86","39,974.09","37,609.14","31,630.15","103,385.36","100,701.26","77,789.97","104,667.50","118,398.60","121,195.72","115,248.70","106,045.09","106,700.10","95,520.76","112,520.59","118,853.72","126,107.60","96,934.90","100,968.68","75,002.41","106,690.02","102,678.93","115,803.62","110,260.97","108,950.07","91,071.53","108,813.69","116,053.38","124,244.12","96,162.45","87,552.00","80,117.54","103,031.95","103,394.47","112,677.18","98,684.74","96,289.44","82,684.76","108,212.62","113,817.29","122,601.23","93,652.84","72,327.85","113,715.80","118,752.54","109,815.58","96,588.84","86,662.73","88,725.18","74,535.23","97,250.64","100,709.34","106,762.79","77,097.23","88,570.44","93,544.00","115,000.00","97,697.14","90,948.81","82,801.07","57,805.84","24,640.20","65,340.03","72,707.87","83,257.36","86,117.21","72,422.59","72,737.35","63,616.19","69,856.64"
Building 25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"7,132.00","9,087.00","10,442.30","12,199.60","10,791.79","9,233.06","10,895.26","11,671.87","11,297.88","12,750.76","11,783.57","13,049.54","10,713.80","12,994.61","11,388.92","13,698.23","11,570.39","8,552.95","12,435.14","12,096.93","14,146.67","14,284.34","11,909.18","12,303.99","10,568.74","12,024.10","14,670.56","14,752.14","12,468.55","11,566.03","11,800.86","12,432.62","14,084.10","15,333.14","12,984.22","9,450.04","6,097.06","9,807.70","9,987.90","10,408.86","10,623.00","9,677.35","9,007.57","9,223.62","9,104.62"
Building 26,"25,037.24","30,398.28","16,105.61","14,264.45","18,378.34","18,984.96","21,162.31","19,244.00","14,404.12","15,704.90","18,124.23","18,458.99","17,640.43","16,979.39","16,153.74","14,142.53","17,044.32","24,379.00","20,540.99","18,670.84","15,636.02","17,536.00","16,936.00","33,777.88","35,903.07","29,881.49","24,269.14","23,168.04","26,194.56","27,818.96","32,848.97","27,936.86","21,964.93","24,521.93","26,529.32","30,575.90","34,966.64","26,194.59","28,184.60","24,995.11","28,743.60","29,459.30","29,123.72","29,812.30","25,990.46","30,573.97","30,543.41","34,462.81","37,323.34","31,400.99","30,622.81","23,948.81","28,444.66","26,581.00","29,383.33","27,856.74","25,817.91","25,477.89","28,014.99","31,236.10","33,786.55","32,202.65","23,891.90","19,096.35","19,951.06","26,050.47","27,051.44","25,168.88","27,280.89","25,847.98","24,384.14","24,547.33"
Building 28,"24,523.74","20,384.14","16,094.36","10,610.29","16,518.46","19,006.24","21,113.47","20,141.01","18,478.00","20,808.32","20,323.22","17,738.21","19,934.00","11,980.32","17,884.71","12,155.53","15,712.58","18,416.00","17,324.09","15,832.73","15,366.00","12,141.00","21,869.19","18,811.74","19,841.76","17,229.32","16,850.08","14,349.28","14,442.11","19,860.84","22,586.53","19,742.74","14,571.85","15,066.19","20,646.25","21,140.80","21,721.65","19,376.70","20,536.39","17,924.84","20,955.64","19,897.00","17,669.07","18,906.12","10,099.86","14,090.29","20,004.82","19,580.52","19,830.62","17,332.84","18,593.42","17,016.74","15,507.43","14,721.80","27,656.55","16,064.41","16,182.90","15,106.50","17,523.56","18,811.90","19,148.99","17,025.87","14,493.09","7,171.07","9,044.47","9,314.28","11,191.48","10,672.46","9,725.92","12,000.00","7,853.70","10,779.21"
Building 29,"81,857.80","72,343.28","82,954.01","79,239.92","87,664.92","86,926.99","88,240.18","87,621.81","77,839.87","78,641.96","81,971.47","80,412.16","80,142.88","72,968.79","79,437.33","72,146.40","81,012.26","83,579.00","85,272.00","79,406.71","76,701.60","75,709.00","74,337.00","90,914.52","88,955.17","83,707.19","89,444.48","78,621.36","84,048.67","89,583.19","89,042.97","89,398.89","85,671.16","82,361.93","82,549.76","88,821.38","92,328.19","80,740.19","87,017.36","81,733.86","85,976.75","83,882.76","87,119.34","85,716.74","71,933.10","88,258.44","84,680.44","87,789.73","85,861.55","78,447.22","86,993.88","77,298.03","89,654.63","87,487.21","101,537.37","79,497.73","76,146.17","73,374.82","77,281.70","83,243.98","81,750.27","75,036.53","71,500.56","61,515.44","71,541.62","80,574.04","76,480.19","74,384.12","75,057.86","73,658.60","75,892.72","78,434.90"
