T.R,January-18,February-18,March-18,April-18,May-18,June-18,July-18,August-18,September-18,October-18,November-18,December-18,January-19,February-19,March-19,April-19,May-19,June-19,July-19,August-19,September-19,October-19,November-19,December-19,January-20,February-20,March-20,April-20,May-20,June-20,July-20,August-20,September-20,October-20,November-20,December-20
Building 14,301.44,311.2,518.14,557.35,2491.86,15362,6441.75,16804.92,8129.46,8294.29,2071.95,361.74,11.87,7.65,442.09,485.36,9104.44,16056.34,17271.46,16245.66,14082.88,4400.43,3692.45,445.29,0,0,7.52,0,4153.95,5533.67,11769.88,14923.21,15396.98,3187.63,0,0
Building 15-16,12115.62,12982.32,4849.63,20352.47,28692.18,39397.98,52433.61,42520.09,31679.13,23431.88,13206.82,8772.15,8054.91,9440.35,17866.08,15067.07,34277.21,51634.47,53206.34,55490.15,42076.18,22051.46,12394.99,8968.23,5085.47,7813.15,14572.44,1864.17,12767.93,14332.92,38730.47,42327.56,39572.27,24725.83,7281.95,3306.41
Building 17,18.65,0,1428.26,1531.19,6097.84,5911.9,7622.27,7240.44,6656.1,1964,5.7,21.19,68.77,31.2,1348.16,1389.03,4234.38,6023,8034.25,6639.62,7949,1823.16,1013.62,95.1,0,151.16,461.13,36.2,1622.28,1759.36,10858.7,5337.05,3839.03,2502.27,302.73,0.81
Building 18,1428.88,1528.21,2956.39,4703.97,10295.47,11849.82,14549.1,15576.62,10099.32,8111.26,3431.06,1610.84,1768.83,1380.53,1878.87,4746.85,7471.84,13247.51,15114.22,14663,10533.47,6965.43,3044.55,2140.07,0,76.46,398.7,289.8,3176.67,4057.2,10178.61,11608.37,8860.45,4707.6,1675.9,217.43
Building 22,5486.01,8105.72,15864.18,23433.15,47104.84,64452.68,83038.97,58698.3,39720.45,39756.29,20244.25,12149.71,5346.25,7291.53,13087.42,17027.12,35312.05,58029.68,74028.7,45078.26,47690.51,23892.43,19107.69,14483.54,4643.44,6654.66,7575.11,278.62,14795.3,18776.77,53864.2,52700.44,45179.93,22713.73,6834.51,179.09
Building 25,152.4,262,549.06,309.51,2253.78,4327.6,5809.71,6194.11,4920.52,4713.81,2829.73,10010.63,10.32,0,534.07,109.39,1545.83,3218.46,3338.37,4951.81,4578.34,3193.68,3182.75,11952.81,0,0,1226.4,0,633.98,788.76,1789.87,2126.54,1991.3,880.1,0,0
Building 26,333.85,0,2456.65,2233,2004.72,11041.76,5561.94,6919.92,7781.55,8642.15,86.87,0,0,0,153.46,1874.51,1423.03,3380.29,4958.75,3120.43,7739.88,7953.2,229.13,0,0,0,0,0,1103.5,1492.32,6822.08,5336.43,3950.2,4211.82,3203.83,0
Building 28,0,0,40.94,5557.38,5590.54,12521.71,11737.6,12601.65,13181.99,8877.87,1765.54,0,0,0,149.42,5171.01,4581.34,8489.27,7464.57,8187.19,8795.05,8962.48,3117.97,474.49,0,0,0,0,0,0,1313.71,0,0,6356.67,0,0
Building 29,10736.98,14492.05,7993.37,12865.1,4360.68,27402.19,26631.49,6774.3,22140.05,36244.63,10632.37,13114.77,12410.15,13975.46,11503.49,14034.39,3503.44,15632.61,46321.49,7780.8,30154.11,37424.37,9839.74,14718.73,13397.59,11055.82,8025.13,531.89,10992.46,11202.27,39969.55,31995.58,34457.29,18369.63,9189.58,528.39
Building 30,333.85,0,2456.65,2233,2004.72,13041.76,25561.94,6919.92,15781.55,8642.15,86.87,0,58.87,0,53.46,1874.51,1423.03,13380.29,4958.75,3120.43,17739.88,7953.2,229.13,0,0,0,0,0,1103.5,1492.32,6822.08,5336.43,3950.2,4211.82,3203.83,0
Building 32,0,0,37.62,5107.5,5137.99,11508.07,10787.43,11581.54,12114.9,8159.2,1622.62,0,0,0,124.81,4319.57,3826.99,7091.45,6235.48,6839.11,7346.88,7486.74,2604.57,396.37,0,0,0,0,0,0,1097.39,0,0,5310,0,0
Building 33,2654.19,2262.04,30895.81,19712.97,25595.11,64716.32,53338.57,65719.48,79782.23,40296.28,25041.2,6467.28,2443.42,2342.77,30923.64,18016.06,25749.05,40725.87,71762.67,65406.34,44602.74,36854.35,23666.02,6466.75,1264.89,1506.07,33631.13,6750.77,18768.87,21472.93,64645.18,59841.29,59165.14,53007.79,31998.13,1390.68
Building 34,4233.3,6217.76,5524.04,15029.3,23496.06,28684.19,33302.33,26736.57,15044.35,12671.78,6356.68,7543.66,2688.38,5626.84,3981.69,14495.06,16065.7,28198.79,33055.94,25675.18,23379.12,13293.19,8905.53,8365.71,9435.72,9700.42,1316.06,194.35,6089.85,7901.21,19257.88,20610.13,17119.2,9349.33,2700.21,47.57
