building_number,lab,labs_c_desktop,non_labs_c_desktop,c_server,wet_lab_instruments,labs_delta_temperature_area,non_labs_delta_temperature_area,delta_temperature,area_sm,direct_consumption,indirect_consumption
14,0,0,13,0.0,0.0,0.0,29860.863010752688,10.112043010752688,2953,32322.67,15.38357025933288
14,0,0,13,0.0,0.0,0.0,25989.212380952376,8.80095238095238,2953,20597.35,9.03809701269668
14,0,0,13,0.0,0.0,0.0,23686.2352688172,8.021075268817203,2953,19120.75,530.7257151315366
14,0,0,13,0.0,0.0,0.0,11705.691999999997,3.963999999999999,2953,12793.32,401.9387344674528
14,0,0,13,0.0,0.0,0.0,13876.559784946227,4.699139784946233,2953,15889.49,9995.987708301873
14,0,0,13,0.0,0.0,0.0,21121.168444444436,7.152444444444441,2953,19220.65,16245.695145093116
14,0,0,13,0.0,0.0,0.0,23734.499354838703,8.037419354838708,2953,21234.02,17115.9676124819
14,0,0,13,0.0,0.0,0.0,20837.384086021513,7.056344086021507,2953,15783.52,17517.754382250183
14,0,0,13,0.0,0.0,0.0,14140.93266666666,4.788666666666664,2953,16713.58,15841.39569592784
14,0,0,13,0.0,0.0,0.0,6136.524516129032,2.0780645161290323,2953,13395.52,5030.039440032802
14,0,0,13,0.0,0.0,0.0,6175.707333333328,2.0913333333333317,2953,15324.38,5394.157564104752
14,0,0,13,0.0,0.0,0.0,22648.557419354845,7.669677419354841,2953,18731.01,576.6757857449041
15-16,0,0,679,22.0,0.0,0.0,64140.688817204296,10.112043010752688,6343,80986.07,10439.197465678437
15-16,0,0,680,22.0,0.0,0.0,55824.440952380945,8.80095238095238,6343,68354.88,11153.307076315175
15-16,0,0,682,22.0,0.0,0.0,50877.68043010752,8.021075268817203,6343,79253.44,21448.09447080288
15-16,0,0,682,22.0,0.0,0.0,25143.651999999995,3.963999999999999,6343,71262.98,12477.416861571874
15-16,0,0,683,22.0,0.0,0.0,29806.643655913955,4.699139784946233,6343,78553.85,37633.78855095777
15-16,0,0,683,22.0,0.0,0.0,45367.95511111109,7.152444444444441,6343,80835.15,52243.4040758016
15-16,0,0,685,22.0,0.0,0.0,50981.35096774192,8.037419354838708,6343,78680.25,52727.33122843698
15-16,0,0,686,22.0,0.0,0.0,44758.39053763442,7.056344086021507,6343,74845.36,59835.23096840756
15-16,0,0,701,22.0,0.0,0.0,30374.51266666665,4.788666666666664,6343,74679.36,47330.1921732689
15-16,0,0,707,22.0,0.0,0.0,13181.163225806453,2.0780645161290323,6343,72665.16,25206.56242919572
15-16,0,0,736,22.0,0.0,0.0,13265.327333333324,2.0913333333333317,6343,75472.21,18107.36206732732
15-16,0,0,738,22.0,0.0,0.0,48648.763870967756,7.669677419354841,6343,84106.24,11614.3661029689
17,0,0,94,0.0,0.0,0.0,15977.027956989246,10.112043010752688,1580,17116.72,89.1262111823355
17,0,0,95,0.0,0.0,0.0,13905.50476190476,8.80095238095238,1580,13160.29,36.861258404723706
17,0,0,95,0.0,0.0,0.0,12673.29892473118,8.021075268817203,1580,14924.58,1618.4559255168233
17,0,0,95,0.0,0.0,0.0,6263.119999999999,3.963999999999999,1580,12083.06,1150.2904242981003
17,0,0,95,0.0,0.0,0.0,7424.640860215049,4.699139784946233,1580,10763.36,4649.029531995298
17,0,0,95,0.0,0.0,0.0,11300.862222222217,7.152444444444441,1580,9963.47,6094.030262120499
17,0,0,95,0.0,0.0,0.0,12699.122580645158,8.037419354838708,1580,10674.28,7961.918841289776
17,0,0,95,0.0,0.0,0.0,11149.023655913981,7.056344086021507,1580,9750.88,7159.526442845409
17,0,0,95,0.0,0.0,0.0,7566.09333333333,4.788666666666664,1580,10825.56,8941.58399325496
17,0,0,95,0.0,0.0,0.0,3283.341935483871,2.0780645161290323,1580,9763.25,2084.016040589261
17,0,0,95,0.0,0.0,0.0,3304.306666666664,2.0913333333333317,1580,10313.2,1480.7583014334275
17,0,0,95,0.0,0.0,0.0,12118.090322580649,7.669677419354841,1580,14048.81,123.15988956486868
