building_number,lab,c_desktop,c_laptop,c_server,r_domestic,r_industrial,r_other,f_industrial,f_domestic,cv_0,cv_1,cv_2,cv_3,cv_4,delta_temperature,est_1,area_sm,direct_consumption,indirect_consumption
14,0,13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,10.112043010752688,1,2953,32322.67,15.38357025933288
14,0,13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.80095238095238,1,2953,20597.35,9.03809701269668
14,0,13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.021075268817203,1,2953,19120.75,530.7257151315366
14,0,13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.9639999999999986,1,2953,12793.32,401.9387344674528
14,0,13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.699139784946233,1,2953,15889.49,9995.987708301873
14,0,13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.152444444444441,1,2953,19220.65,16245.695145093116
14,0,13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.037419354838708,1,2953,21234.02,17115.9676124819
14,0,13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.056344086021507,1,2953,15783.52,17517.754382250183
14,0,13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.788666666666664,1,2953,16713.58,15841.39569592784
14,0,13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0780645161290323,1,2953,13395.52,5030.039440032802
14,0,13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0913333333333313,1,2953,15324.38,5394.157564104752
14,0,13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.669677419354841,1,2953,18731.01,576.6757857449041
15-16,0,679,79.0,22.0,8.0,0.0,0.0,0.0,0.0,0,0,0,0,0,10.112043010752688,0,6343,80986.07,10439.197465678437
15-16,0,680,79.0,22.0,8.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.80095238095238,0,6343,68354.88,11153.307076315175
15-16,0,682,79.0,22.0,8.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.021075268817203,0,6343,79253.44,21448.09447080288
15-16,0,682,79.0,22.0,8.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.9639999999999986,0,6343,71262.98,12477.416861571874
15-16,0,683,79.0,22.0,8.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.699139784946233,0,6343,78553.85,37633.78855095777
15-16,0,683,79.0,22.0,8.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.152444444444441,0,6343,80835.15,52243.4040758016
15-16,0,685,79.0,22.0,8.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.037419354838708,0,6343,78680.25,52727.33122843698
15-16,0,686,79.0,22.0,8.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.056344086021507,0,6343,74845.36,59835.23096840756
15-16,0,701,79.0,22.0,8.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.788666666666664,0,6343,74679.36,47330.1921732689
15-16,0,707,79.0,22.0,8.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0780645161290323,0,6343,72665.16,25206.56242919572
15-16,0,736,79.0,22.0,8.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0913333333333313,0,6343,75472.21,18107.36206732732
15-16,0,738,79.0,22.0,8.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.669677419354841,0,6343,84106.24,11614.3661029689
17,0,94,21.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0,10.112043010752688,0,1580,17116.72,89.1262111823355
17,0,95,21.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.80095238095238,0,1580,13160.29,36.861258404723706
17,0,95,21.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.021075268817203,0,1580,14924.58,1618.4559255168233
17,0,95,21.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.9639999999999986,0,1580,12083.06,1150.2904242981003
17,0,95,21.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.699139784946233,0,1580,10763.36,4649.029531995298
17,0,95,21.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.152444444444441,0,1580,9963.47,6094.030262120499
17,0,95,22.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.037419354838708,0,1580,10674.28,7961.918841289776
17,0,95,22.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.056344086021507,0,1580,9750.88,7159.526442845409
17,0,95,22.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.788666666666664,0,1580,10825.56,8941.58399325496
17,0,95,22.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0780645161290323,0,1580,9763.25,2084.016040589261
17,0,95,22.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.0913333333333313,0,1580,10313.2,1480.7583014334275
17,0,95,22.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.669677419354841,0,1580,14048.81,123.15988956486868
18,0,86,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,10.112043010752688,0,1792,34066.53,2292.411169487429
