Date,Hour,KWH
01/01/2019,00:00,3791.5
01/01/2019,01:00,3765.5
01/01/2019,02:00,3716.5
01/01/2019,03:00,3685
01/01/2019,04:00,3724.5
01/01/2019,05:00,4005
01/01/2019,06:00,4626.5
01/01/2019,07:00,4912
01/01/2019,08:00,5460.5
01/01/2019,09:00,5754
01/01/2019,10:00,6049.5
01/01/2019,11:00,6014.5
01/01/2019,12:00,6036
01/01/2019,13:00,5953
01/01/2019,14:00,5882.5
01/01/2019,15:00,6017.5
01/01/2019,16:00,6266
01/01/2019,17:00,6138.5
01/01/2019,18:00,5946.5
01/01/2019,19:00,5604
01/01/2019,20:00,5128
01/01/2019,21:00,4735.5
01/01/2019,22:00,4246
01/01/2019,23:00,4018.5
02/01/2019,00:00,3847.5
02/01/2019,01:00,3805
02/01/2019,02:00,3758.5
02/01/2019,03:00,3733.5
02/01/2019,04:00,3752
02/01/2019,05:00,4065.5
02/01/2019,06:00,4813
02/01/2019,07:00,4983.5
02/01/2019,08:00,5576.5
02/01/2019,09:00,5959
02/01/2019,10:00,6139.5
02/01/2019,11:00,6240.5
02/01/2019,12:00,6135
02/01/2019,13:00,6082.5
02/01/2019,14:00,5955.5
02/01/2019,15:00,6161.5
02/01/2019,16:00,6322.5
02/01/2019,17:00,6160.5
02/01/2019,18:00,5818.5
02/01/2019,19:00,5499
02/01/2019,20:00,5044.5
02/01/2019,21:00,4671.5
02/01/2019,22:00,4186.5
02/01/2019,23:00,3964.5
03/01/2019,00:00,3781.5
03/01/2019,01:00,3761
03/01/2019,02:00,3694.5
03/01/2019,03:00,3646.5
03/01/2019,04:00,3707
03/01/2019,05:00,3984
03/01/2019,06:00,4765.5
03/01/2019,07:00,4939
03/01/2019,08:00,5483
03/01/2019,09:00,5784
03/01/2019,10:00,5948
03/01/2019,11:00,6026.5
03/01/2019,12:00,5989.5
03/01/2019,13:00,5953
03/01/2019,14:00,5840.5
03/01/2019,15:00,5896
03/01/2019,16:00,6123
03/01/2019,17:00,5921.5
03/01/2019,18:00,5615
03/01/2019,19:00,5359.5
03/01/2019,20:00,4865.5
03/01/2019,21:00,4546.5
03/01/2019,22:00,4083.5
03/01/2019,23:00,3906.5
04/01/2019,00:00,3783.5
04/01/2019,01:00,3742
04/01/2019,02:00,3716.5
04/01/2019,03:00,3667
04/01/2019,04:00,3722.5
04/01/2019,05:00,3923
04/01/2019,06:00,4510
04/01/2019,07:00,4258.5
04/01/2019,08:00,4260
04/01/2019,09:00,4298
04/01/2019,10:00,4322
04/01/2019,11:00,4224.5
04/01/2019,12:00,4040.5
04/01/2019,13:00,3779.5
04/01/2019,14:00,3436
04/01/2019,15:00,3811.5
04/01/2019,16:00,4034.5
04/01/2019,17:00,4148.5
04/01/2019,18:00,4141.5
04/01/2019,19:00,4142.5
04/01/2019,20:00,4092.5
04/01/2019,21:00,4036
04/01/2019,22:00,3917.5
04/01/2019,23:00,3784.5
05/01/2019,00:00,3701
05/01/2019,01:00,3662
05/01/2019,02:00,3638
05/01/2019,03:00,3627
05/01/2019,04:00,3631
05/01/2019,05:00,3669
